     mention      | lv  | ru | total | score  
------------------+-----+----+-------+--------
 @@MIXNEWS        |   3 |  5 |     8 | 0.3750
 @latgalescb      |   2 |  1 |     3 | 0.3333
 @jurmalalv       |   2 |  1 |     3 | 0.3333
 @@DELFI          | 144 | 69 |   213 | 0.3239
 @ltv7rus         |   2 |  5 |     7 | 0.2857
 @@LIB            |   4 |  1 |     5 | 0.2000
 @@NILSUSAKOVS    |  11 |  2 |    13 | 0.1538
 @@MEDIA          | 470 | 79 |   549 | 0.1439
 @hcdinamoriga    |   6 |  1 |     7 | 0.1429
 @nilsusakovs     |  11 |  1 |    12 | 0.0833
 @delfilv         | 144 | 10 |   154 | 0.0649
 @@SPORT          |  16 |  1 |    17 | 0.0588
 @csdd_lv         |  23 |  1 |    24 | 0.0417
 @rigassatiksme_  |  23 |  1 |    24 | 0.0417
 @@LSM-TV         | 132 |  5 |   137 | 0.0365
 @@CITY           |  57 |  2 |    59 | 0.0339
 @@GOV            | 173 |  5 |   178 | 0.0281
 @@RIGA           |  49 |  1 |    50 | 0.0200
 @@LSM            | 295 |  5 |   300 | 0.0167
 @@LSM-WEB        | 119 |    |   119 | 0.0000
 @lsmlv           |  91 |    |    91 | 0.0000
 @rusdelfi_lv     |     | 59 |    59 | 0.0000
 semkalis         |     | 54 |    54 | 0.0000
 @@COMM           |  48 |    |    48 | 0.0000
 @ltvzinas        |  47 |    |    47 | 0.0000
 @@LSM-RADIO      |  44 |    |    44 | 0.0000
 clone_me_tender  |     | 37 |    37 | 0.0000
 salick27         |     | 32 |    32 | 0.0000
 @lattelecom      |  32 |    |    32 | 0.0000
 @latvijastv      |  30 |    |    30 | 0.0000
 @ltvsports       |  28 |    |    28 | 0.0000
 ArvisKolmanis    |  25 |    |    25 | 0.0000
 SummersWarming   |     | 25 |    25 | 0.0000
 @@RETAIL         |  24 |    |    24 | 0.0000
 @@SHOPPING       |  20 |    |    20 | 0.0000
 ainarsbr11       |  18 |    |    18 | 0.0000
 @rigasdome       |  18 |    |    18 | 0.0000
 @lsmkultura      |  17 |    |    17 | 0.0000
 RedWhiteRedLV    |  15 |    |    15 | 0.0000
 @ltvpanorama     |  15 |    |    15 | 0.0000
 Ainaronkuls      |  15 |    |    15 | 0.0000
 Best4SportTV     |  14 |    |    14 | 0.0000
 @manslmt         |  13 |    |    13 | 0.0000
 MartasTante      |  13 |    |    13 | 0.0000
 halbienxoto      |     | 13 |    13 | 0.0000
 @@CULTURE        |  12 |    |    12 | 0.0000
 asuhacky         |  12 |    |    12 | 0.0000
 @vas_ldz         |  12 |    |    12 | 0.0000
 pArt07           |  12 |    |    12 | 0.0000
 Gataguk          |     | 11 |    11 | 0.0000
 @neplpadome      |  11 |    |    11 | 0.0000
 @lsmdzivesstils  |  11 |    |    11 | 0.0000
 AdvokateKrista   |  10 |    |    10 | 0.0000
 rudaakaija       |  10 |    |    10 | 0.0000
 @ltrk_info       |  10 |    |    10 | 0.0000
 nuit_polair      |     | 10 |    10 | 0.0000
 Janis_Rozkalns   |   9 |    |     9 | 0.0000
 ValdisValters    |   9 |    |     9 | 0.0000
 @krustpunkta     |   9 |    |     9 | 0.0000
 IlzeJaunberga    |   9 |    |     9 | 0.0000
 laacz            |   9 |    |     9 | 0.0000
 @latvijasradio1  |   9 |    |     9 | 0.0000
 GMeluskans       |   9 |    |     9 | 0.0000
 Mayskolpino      |     |  9 |     9 | 0.0000
 @mansrimi        |   9 |    |     9 | 0.0000
 rutenbergsdaini  |   9 |    |     9 | 0.0000
 @rnparvaldnieks  |   9 |    |     9 | 0.0000
 @@EDU            |   8 |    |     8 | 0.0000
 @@RADIO          |   8 |    |     8 | 0.0000
 @edgarsrinkevics |   8 |    |     8 | 0.0000
 @vkontrole       |   8 |    |     8 | 0.0000
 @lrzinas         |   8 |    |     8 | 0.0000
 BoredofBorders   |   8 |    |     8 | 0.0000
 JanaSima         |   8 |    |     8 | 0.0000
 @gimenes_studija |   8 |    |     8 | 0.0000
 @rdsvc           |   8 |    |     8 | 0.0000
 05etonerazmer    |     |  7 |     7 | 0.0000
 Elizabeth__00    |     |  7 |     7 | 0.0000
 @radiotev        |   7 |    |     7 | 0.0000
 Elly_Veta        |     |  7 |     7 | 0.0000
 bluaty           |     |  7 |     7 | 0.0000
 cashalottt       |     |  7 |     7 | 0.0000
 @swedbanklatvia  |   7 |    |     7 | 0.0000
 @tc_origo        |   7 |    |     7 | 0.0000
 cepumiarpienu    |   7 |    |     7 | 0.0000
 ivetarouge       |   7 |    |     7 | 0.0000
 IngaStirna       |   7 |    |     7 | 0.0000
 AnnaUlla         |   7 |    |     7 | 0.0000
 0h_hai           |     |  7 |     7 | 0.0000
 alkomaar         |     |  7 |     7 | 0.0000
 @@FOOD           |   7 |    |     7 | 0.0000
 kocizum          |     |  7 |     7 | 0.0000
 @@FIN            |   7 |    |     7 | 0.0000
 LaukuSpamere     |   6 |    |     6 | 0.0000
 Eriks_the_Great  |   6 |    |     6 | 0.0000
 @@LEISURE        |   6 |    |     6 | 0.0000
 Nepareizais      |   6 |    |     6 | 0.0000
 Nodusgordius     |   6 |    |     6 | 0.0000
 torquemada_hell  |     |  6 |     6 | 0.0000
 alinaz_          |     |  6 |     6 | 0.0000
 @@NGO            |   6 |    |     6 | 0.0000
 HunnyTunny       |     |  6 |     6 | 0.0000
 @latvijasradio   |   6 |    |     6 | 0.0000
 @lhf_lv          |   6 |    |     6 | 0.0000
 robertomeloni    |   6 |    |     6 | 0.0000
 @tkspice         |   6 |    |     6 | 0.0000
 hopeforthepizza  |     |  6 |     6 | 0.0000
 @rigaszoodarzs   |   6 |    |     6 | 0.0000
 Talis_L          |   5 |    |     5 | 0.0000
 nicole_an_moroz  |     |  5 |     5 | 0.0000
 Lastovskis       |   5 |    |     5 | 0.0000
 zhanett          |   5 |    |     5 | 0.0000
 StepanenkoJulij  |   5 |    |     5 | 0.0000
 @100gkulturas    |   5 |    |     5 | 0.0000
 EriksBelinsky    |   5 |    |     5 | 0.0000
 @tvnet_portals   |   5 |    |     5 | 0.0000
 Maira4ka         |   5 |    |     5 | 0.0000
 aiga_balode      |   5 |    |     5 | 0.0000
 gints_a          |   5 |    |     5 | 0.0000
 Snapy99          |     |  5 |     5 | 0.0000
 jemberga         |   5 |    |     5 | 0.0000
 Vinetav          |   5 |    |     5 | 0.0000
 ArtisCalitis     |   5 |    |     5 | 0.0000
 domuskapis       |   5 |    |     5 | 0.0000
 nnailgun         |     |  5 |     5 | 0.0000
 kajbumba         |   5 |    |     5 | 0.0000
 sabynaBS         |     |  5 |     5 | 0.0000
 fullnessfilings  |     |  5 |     5 | 0.0000
 BaibaStrautmane  |   5 |    |     5 | 0.0000
 f1latvija        |   5 |    |     5 | 0.0000
 @mixnews_lv      |     |  5 |     5 | 0.0000
 @@TVNET          |   5 |    |     5 | 0.0000
 @vid_gov_lv      |   5 |    |     5 | 0.0000
 errnews          |   5 |    |     5 | 0.0000
 krizdabz         |   4 |    |     4 | 0.0000
 EvijaUnama       |   4 |    |     4 | 0.0000
 Prusis           |   4 |    |     4 | 0.0000
 DzintarsRasnacs  |   4 |    |     4 | 0.0000
 AnnaFomina       |     |  4 |     4 | 0.0000
 RainVera         |     |  4 |     4 | 0.0000
 knaaabis         |   4 |    |     4 | 0.0000
 @lvceli          |   4 |    |     4 | 0.0000
 zemene103        |   4 |    |     4 | 0.0000
 kbuss            |   4 |    |     4 | 0.0000
 @lnso            |   4 |    |     4 | 0.0000
 Skepse           |   4 |    |     4 | 0.0000
 @zinamaislr1     |   4 |    |     4 | 0.0000
 glamur821        |     |  4 |     4 | 0.0000
 raudseps         |   4 |    |     4 | 0.0000
 kazhaes          |   4 |    |     4 | 0.0000
 Sarmite_Kolate   |   4 |    |     4 | 0.0000
 @marupesvsk      |   4 |    |     4 | 0.0000
 JanisIesalnieks  |   4 |    |     4 | 0.0000
 @brivibas36      |   4 |    |     4 | 0.0000
 @@TV3            |   4 |    |     4 | 0.0000
 @bkventspils     |   4 |    |     4 | 0.0000
 @@UNI            |   4 |    |     4 | 0.0000
 vaivarei         |   4 |    |     4 | 0.0000
 @iespejamamisija |   4 |    |     4 | 0.0000
 WizyWizy         |   4 |    |     4 | 0.0000
 atjaunotiesisku  |   4 |    |     4 | 0.0000
 @pvilciens       |   4 |    |     4 | 0.0000
 @nralv           |   4 |    |     4 | 0.0000
 asocgimene       |   4 |    |     4 | 0.0000
 maza_dudina      |   4 |    |     4 | 0.0000
 @rigas_pils      |   4 |    |     4 | 0.0000
 @@SCHOOL         |   4 |    |     4 | 0.0000
 ladyalena96      |     |  3 |     3 | 0.0000
 ainarstam        |   3 |    |     3 | 0.0000
 @cesis_lv        |   3 |    |     3 | 0.0000
 alisejoste       |   3 |    |     3 | 0.0000
 JurisLi          |   3 |    |     3 | 0.0000
 KBlumberga       |   3 |    |     3 | 0.0000
 apinis99         |   3 |    |     3 | 0.0000
 @jekaba11        |   3 |    |     3 | 0.0000
 Krista_Baumane   |   3 |    |     3 | 0.0000
 cepum_s          |   3 |    |     3 | 0.0000
 KristineGarina   |   3 |    |     3 | 0.0000
 KsenyaVekshina   |     |  3 |     3 | 0.0000
 @kekavas_novads  |   3 |    |     3 | 0.0000
 cryomancerka     |     |  3 |     3 | 0.0000
 @la_lv           |   3 |    |     3 | 0.0000
 L_bss            |   3 |    |     3 | 0.0000
 demonhog63       |   3 |    |     3 | 0.0000
 dianagorodylina  |     |  3 |     3 | 0.0000
 @latmixnews      |   3 |    |     3 | 0.0000
 BluForster       |   3 |    |     3 | 0.0000
 @lido_lv         |   3 |    |     3 | 0.0000
 foto_enik        |     |  3 |     3 | 0.0000
 gudrsvelgudraks  |   3 |    |     3 | 0.0000
 MaraKrontale     |   3 |    |     3 | 0.0000
 ints_goze        |   3 |    |     3 | 0.0000
 jaarinak5        |     |  3 |     3 | 0.0000
 jtaurens         |   3 |    |     3 | 0.0000
 jurino123t       |   3 |    |     3 | 0.0000
 @lv_portals      |   3 |    |     3 | 0.0000
 DikembeSakamoto  |   3 |    |     3 | 0.0000
 koleegjis        |   3 |    |     3 | 0.0000
 EGoizane         |   3 |    |     3 | 0.0000
 NigasfromTk      |   3 |    |     3 | 0.0000
 NikiArtpop       |     |  3 |     3 | 0.0000
