    screen_name    | lv  | ru  | total | score 
-------------------+-----+-----+-------+-------
 "AlferjevaJ"      |   2 |   2 |     4 |  0.50
 "sashasuhanov"    |   2 |   2 |     4 |  0.50
 "_Yurochka_"      |   1 |   1 |     2 |  0.50
 "janccik"         |   1 |   1 |     2 |  0.50
 "Arkadyeazyyolo"  |   1 |   1 |     2 |  0.50
 "@latgalescb"     |  13 |  10 |    23 |  0.43
 "@@DELFI"         | 131 |  80 |   211 |  0.38
 "Barerotic"       |   2 |   1 |     3 |  0.33
 "@@MEDIA"         | 370 | 169 |   539 |  0.31
 "AKMshooter"      |   3 |   1 |     4 |  0.25
 "nicole_an_moroz" |   9 |  37 |    46 |  0.20
 "yournichkaa"     |   1 |   4 |     5 |  0.20
 "@@MIXNEWS"       |  13 |  64 |    77 |  0.17
 "@@LSM-TV"        | 107 |  20 |   127 |  0.16
 "@@GOV"           |  57 |  10 |    67 |  0.15
 "WizyWizy"        |  20 |   3 |    23 |  0.13
 "arinuwka4"       |   8 |   1 |     9 |  0.11
 "@@LSM"           | 226 |  25 |   251 |  0.10
 "@@LSM-RADIO"     |  27 |   3 |    30 |  0.10
 "@@LSM-WEB"       |  92 |   2 |    94 |  0.02
 "@delfilv"        | 131 |     |   131 |  0.00
 "pimpin_is_hard"  |     | 130 |   130 |  0.00
 "@lsmlv"          |  85 |     |    85 |  0.00
 "@rusdelfi_lv"    |     |  80 |    80 |  0.00
 "LaukuSpamere"    |  66 |     |    66 |  0.00
 "AlexanHawk"      |     |  65 |    65 |  0.00
 "@mixnews_lv"     |     |  64 |    64 |  0.00
 "prayforwhatsy"   |     |  61 |    61 |  0.00
 "@@COMM"          |  51 |     |    51 |  0.00
 "@ltvzinas"       |  49 |     |    49 |  0.00
 "IlzeJaunberga"   |  48 |     |    48 |  0.00
 "@latvijastv"     |  41 |     |    41 |  0.00
 "@lattelecom"     |  41 |     |    41 |  0.00
 "gorskis_intars"  |  41 |     |    41 |  0.00
 "BaibaStrautmane" |  32 |     |    32 |  0.00
 "ksenijahramova"  |     |  31 |    31 |  0.00
 "whyssorry"       |     |  29 |    29 |  0.00
 "AValdbergs"      |  25 |     |    25 |  0.00
 "@rigasdome"      |  25 |     |    25 |  0.00
 "TusinwRiga"      |     |  24 |    24 |  0.00
 "rutenbergsdaini" |  23 |     |    23 |  0.00
 "PhanAtDeDisco"   |  22 |     |    22 |  0.00
 "RealJeyHoran"    |  22 |     |    22 |  0.00
 "SigmaLS8361"     |  21 |     |    21 |  0.00
 "Eleonooraa"      |  20 |     |    20 |  0.00
 "@ltv7rus"        |     |  20 |    20 |  0.00
 "viktorpavlov10"  |     |  19 |    19 |  0.00
 "valerijasamanta" |  19 |     |    19 |  0.00
 "Enkurss"         |  16 |     |    16 |  0.00
 "mnimmum"         |     |  16 |    16 |  0.00
 "jacky_spoki"     |  16 |     |    16 |  0.00
 "dovjatinsh"      |  15 |     |    15 |  0.00
 "LaurisLiepa"     |  15 |     |    15 |  0.00
 "VDruse"          |  14 |     |    14 |  0.00
 "tmrshv"          |     |  14 |    14 |  0.00
 "@lrzinas"        |  14 |     |    14 |  0.00
 "GMeluskans"      |  14 |     |    14 |  0.00
 "@latvijasradio1" |  13 |     |    13 |  0.00
 "@latmixnews"     |  13 |     |    13 |  0.00
 "SkaidriteKr"     |  12 |     |    12 |  0.00
 "konkovochka"     |     |  12 |    12 |  0.00
 "summerrr212"     |     |  12 |    12 |  0.00
 "baidekalna"      |  12 |     |    12 |  0.00
 "@ltvsports"      |  12 |     |    12 |  0.00
 "indig0Xsunrise"  |     |  12 |    12 |  0.00
 "io7246"          |  12 |     |    12 |  0.00
 "belka_shi"       |     |  11 |    11 |  0.00
 "anechka159"      |     |  11 |    11 |  0.00
 "Badshinigami"    |     |  10 |    10 |  0.00
 "tomszvirbulis"   |  10 |     |    10 |  0.00
 "nikusja20002"    |     |  10 |    10 |  0.00
 "koleegjis"       |  10 |     |    10 |  0.00
 "dzimmijs13"      |  10 |     |    10 |  0.00
 "andrisgrafs"     |  10 |     |    10 |  0.00
 "Nagla114"        |  10 |     |    10 |  0.00
 "18_InCe"         |   9 |     |     9 |  0.00
 "tolstovs1"       |   9 |     |     9 |  0.00
 "ernestsd"        |   9 |     |     9 |  0.00
 "nostradamusboy"  |   9 |     |     9 |  0.00
 "TheDinamo777"    |     |   9 |     9 |  0.00
 "dimantinjs"      |   9 |     |     9 |  0.00
 "kalisa_d"        |     |   9 |     9 |  0.00
 "Klasika_LR3"     |   9 |     |     9 |  0.00
 "aaangelinaaa_"   |     |   9 |     9 |  0.00
 "SaldusPB"        |   8 |     |     8 |  0.00
 "@@FIN"           |   8 |     |     8 |  0.00
 "@swedbanklatvia" |   8 |     |     8 |  0.00
 "AndrisTaurins"   |   8 |     |     8 |  0.00
 "HunnyTunny"      |     |   8 |     8 |  0.00
 "Dzhaan420"       |     |   8 |     8 |  0.00
 "Kagamiii"        |     |   8 |     8 |  0.00
 "ksykorolj"       |     |   8 |     8 |  0.00
 "vasilevskaaa"    |     |   8 |     8 |  0.00
 "joaigars1"       |   8 |     |     8 |  0.00
 "@manslmt"        |   8 |     |     8 |  0.00
 "kajbumba"        |   8 |     |     8 |  0.00
 "Vinotava"        |   8 |     |     8 |  0.00
 "Edijs31"         |   7 |     |     7 |  0.00
 "@rigassatiksme_" |   7 |     |     7 |  0.00
 "caramelllee"     |   7 |     |     7 |  0.00
 "SkujaVilnis"     |   7 |     |     7 |  0.00
 "rozepodolska"    |   7 |     |     7 |  0.00
 "sikaanna"        |   7 |     |     7 |  0.00
 "Luize80"         |     |   7 |     7 |  0.00
 "sikadaksa"       |   7 |     |     7 |  0.00
 "ViktoriyaLa"     |     |   7 |     7 |  0.00
 "andrejko_epta"   |     |   7 |     7 |  0.00
 "100gkulturas"    |   7 |     |     7 |  0.00
 "gogodancerbi"    |   7 |     |     7 |  0.00
 "naservere"       |     |   7 |     7 |  0.00
 "oskudra"         |   7 |     |     7 |  0.00
 "Inita14868431"   |   7 |     |     7 |  0.00
 "cathrine___b"    |     |   7 |     7 |  0.00
 "vitali_by"       |     |   6 |     6 |  0.00
 "kristtyaaa"      |     |   6 |     6 |  0.00
 "linduliite"      |   6 |     |     6 |  0.00
 "mururrurrr"      |     |   6 |     6 |  0.00
 "i_v_e_t_a"       |   6 |     |     6 |  0.00
 "nicoleprofileee" |     |   6 |     6 |  0.00
 "dANILIWE"        |     |   6 |     6 |  0.00
 "Go4speedLV"      |   6 |     |     6 |  0.00
 "alinaamalinaa"   |     |   6 |     6 |  0.00
 "ainarsbr11"      |   6 |     |     6 |  0.00
 "polik2211"       |     |   6 |     6 |  0.00
 "Yuubaru01"       |     |   6 |     6 |  0.00
 "pulks"           |   6 |     |     6 |  0.00
 "Toews_82"        |     |   6 |     6 |  0.00
 "Rimants4"        |   6 |     |     6 |  0.00
 "snezhkyn"        |     |   6 |     6 |  0.00
 "PakistAnnie_"    |   6 |     |     6 |  0.00
 "Nelaquetan"      |     |   6 |     6 |  0.00
 "GirtsS"          |   6 |     |     6 |  0.00
 "Maira4ka"        |   6 |     |     6 |  0.00
 "Lukstins88"      |   6 |     |     6 |  0.00
 "ugriinis"        |   6 |     |     6 |  0.00
 "Ljipa"           |   6 |     |     6 |  0.00
 "DanaMusoyan"     |     |   6 |     6 |  0.00
 "CelminsGints"    |   6 |     |     6 |  0.00
 "Inese_Z_"        |   6 |     |     6 |  0.00
 "Ilza4ka"         |   6 |     |     6 |  0.00
 "janisburba"      |   6 |     |     6 |  0.00
 "plushsnake"      |     |   5 |     5 |  0.00
 "@@RETAIL"        |   5 |     |     5 |  0.00
 "@latvijas_pasts" |   5 |     |     5 |  0.00
 "@ltvpanorama"    |   5 |     |     5 |  0.00
 "Babyroom_lv"     |   5 |     |     5 |  0.00
 "BeateSunaPlace"  |   5 |     |     5 |  0.00
 "BluForster"      |   5 |     |     5 |  0.00
 "Brivibas36"      |   5 |     |     5 |  0.00
 "ChaulaTV"        |   5 |     |     5 |  0.00
 "DavydovaMartha"  |     |   5 |     5 |  0.00
 "Deivsaa"         |   5 |     |     5 |  0.00
 "EOlekts"         |   5 |     |     5 |  0.00
 "IevaSniedze"     |   5 |     |     5 |  0.00
 "IlgvarsImsa"     |   5 |     |     5 |  0.00
 "Joogr"           |   5 |     |     5 |  0.00
 "Kostik_LV"       |   5 |     |     5 |  0.00
 "LLKC_lv"         |   5 |     |     5 |  0.00
 "LizaStrazdinya"  |     |   5 |     5 |  0.00
 "Mojito41"        |   5 |     |     5 |  0.00
 "OLYV5"           |     |   5 |     5 |  0.00
 "StNicole1"       |     |   5 |     5 |  0.00
 "THUNDERFROST1"   |     |   5 |     5 |  0.00
 "VicctoriaDm"     |     |   5 |     5 |  0.00
 "VienradzisR"     |   5 |     |     5 |  0.00
 "Zavileiskis"     |   5 |     |     5 |  0.00
 "_JusiY_"         |   5 |     |     5 |  0.00
 "adeniins"        |   5 |     |     5 |  0.00
 "bowskis"         |   5 |     |     5 |  0.00
 "dianabangg"      |     |   5 |     5 |  0.00
 "dudiite123"      |   5 |     |     5 |  0.00
 "edgarszeiza"     |   5 |     |     5 |  0.00
 "fidsja_sis"      |   5 |     |     5 |  0.00
 "impro_celo"      |   5 |     |     5 |  0.00
 "janissport"      |   5 |     |     5 |  0.00
 "jenss1983"       |   5 |     |     5 |  0.00
 "katrina9902"     |     |   5 |     5 |  0.00
 "merigor777"      |     |   5 |     5 |  0.00
 "polesik98"       |     |   5 |     5 |  0.00
 "saliktenis"      |   5 |     |     5 |  0.00
 "sapnisiem"       |   5 |     |     5 |  0.00
 "skraipsts"       |   5 |     |     5 |  0.00
 "vitaamiins"      |   5 |     |     5 |  0.00
 "zaneolina"       |   5 |     |     5 |  0.00
 "zuzan4iks"       |   5 |     |     5 |  0.00
 "VAKSJA_"         |     |   4 |     4 |  0.00
 "sanitaribena"    |   4 |     |     4 |  0.00
 "RaitisNarme"     |   4 |     |     4 |  0.00
 "wesservic"       |     |   4 |     4 |  0.00
 "atjaunotiesisku" |   4 |     |     4 |  0.00
 "Mazachiksee"     |   4 |     |     4 |  0.00
 "AdvokateKrista"  |   4 |     |     4 |  0.00
 "MAARELLIS"       |   4 |     |     4 |  0.00
 "Raivis_Spalvens" |   4 |     |     4 |  0.00
 "mehanikslabs"    |   4 |     |     4 |  0.00
 "Eizons"          |   4 |     |     4 |  0.00
 "romachier"       |     |   4 |     4 |  0.00
 "@mansrimi"       |   4 |     |     4 |  0.00
